구,VHI_TOPSIS_Score
영등포구,0.6524135024043538
은평구,0.6321997094104305
동대문구,0.6199992226253687
송파구,0.6063383188677625
도봉구,0.6036825322718657
구로구,0.5561003470368866
중랑구,0.5452757923911249
성동구,0.49061853360912683
관악구,0.489781378206343
강동구,0.4822550454740627
중구,0.45899397045499674
동작구,0.4522000576226701
노원구,0.43801819078332693
양천구,0.43561704400041623
강북구,0.432927215009689
서대문구,0.41900190244575397
성북구,0.39898448297721767
강남구,0.39363290370389514
강서구,0.3903267724042849
마포구,0.3509283794849783
용산구,0.3469135157179673
광진구,0.31723654303408366
종로구,0.31053522834365255
금천구,0.24640501484791233
서초구,0.12775047752508298
