구,UVI_TOPSIS_Score
광진구,0.6425826151817887
강남구,0.6364172555525929
동대문구,0.6235614851792851
영등포구,0.6189408279150321
중구,0.5823679427884724
양천구,0.5813152047149395
금천구,0.5747250426390149
구로구,0.5730284280200044
송파구,0.5412936813594604
동작구,0.5143106775053963
중랑구,0.485667874785615
성동구,0.4833253255874669
강서구,0.46850963360220205
용산구,0.45875011552258305
성북구,0.3877412754283971
노원구,0.38731842275119516
강동구,0.38460577304048454
서초구,0.3691619034816831
마포구,0.3412601791877212
서대문구,0.3380212171296165
은평구,0.2389678000079696
도봉구,0.226171377622608
강북구,0.2206833795725453
종로구,0.18504213076192103
관악구,0.12496597632502711
