구,노후화주택_비율
강남구,19.98657567960622
강동구,25.57012542759407
강북구,43.070359091485855
강서구,20.42635982764177
관악구,39.295392953929536
광진구,25.44416780990126
구로구,38.37168001894313
금천구,30.876213405732138
노원구,38.08918715006155
도봉구,36.13186813186813
동대문구,44.692450945993365
동작구,34.12419449326303
마포구,36.164938718498554
서대문구,42.18756815703381
서울시,33.88752095684466
서초구,24.348406029078298
성동구,50.87656045788454
성북구,42.320537097607165
송파구,20.523322767152237
양천구,39.299126231641566
영등포구,41.509376054998
용산구,45.47079221125633
은평구,31.33699002013774
종로구,44.683337228324376
중구,42.51434533124674
중랑구,32.456245197643646
